dataset,policy,rep,seed_split,seed_cv,seed_opt,cv_best,test_acc,evals_to_99pct,final_curve_value
breast-w,row_major,14,14,42,14,0.9677606177606177,0.9571428571428572,6,0.9677606177606177
breast-w,row_major,15,15,42,15,0.965990990990991,0.9714285714285714,6,0.965990990990991
breast-w,row_major,16,16,42,16,0.9731821106821107,0.9571428571428572,6,0.9731821106821107
breast-w,row_major,17,17,42,17,0.9713963963963964,0.9571428571428572,6,0.9713963963963964
breast-w,row_major,18,18,42,18,0.9678410553410555,0.95,6,0.9678410553410555
breast-w,row_major,19,19,42,19,0.9641891891891892,0.9928571428571429,6,0.9641891891891892
breast-w,row_major,20,20,42,20,0.9678249678249677,0.9785714285714285,6,0.9678249678249677
breast-w,row_major,21,21,42,21,0.9677767052767052,0.9785714285714285,6,0.9677767052767052
breast-w,row_major,22,22,42,22,0.9677767052767052,0.9642857142857143,6,0.9677767052767052
breast-w,row_major,23,23,42,23,0.9713963963963964,0.9642857142857143,6,0.9713963963963964
breast-w,row_major,24,24,42,24,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,row_major,25,25,42,25,0.971380308880309,0.9642857142857143,6,0.971380308880309
breast-w,row_major,26,26,42,26,0.9713159588159588,0.9642857142857143,6,0.9713159588159588
breast-w,row_major,27,27,42,27,0.9695785070785071,0.9571428571428572,6,0.9695785070785071
breast-w,row_major,28,28,42,28,0.9767535392535394,0.9428571428571428,7,0.9767535392535394
breast-w,row_major,29,29,42,29,0.9696267696267695,0.9571428571428572,6,0.9696267696267695
breast-w,col_major,0,0,42,0,0.971380308880309,0.9642857142857143,6,0.971380308880309
breast-w,col_major,1,1,42,1,0.9767535392535394,0.95,6,0.9767535392535394
breast-w,col_major,2,2,42,2,0.9678088803088803,0.9714285714285714,6,0.9678088803088803
breast-w,col_major,3,3,42,3,0.9803410553410552,0.9285714285714286,6,0.9803410553410552
breast-w,col_major,4,4,42,4,0.97493564993565,0.95,6,0.97493564993565
breast-w,col_major,5,5,42,5,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,col_major,6,6,42,6,0.9695785070785071,0.9642857142857143,6,0.9695785070785071
breast-w,col_major,7,7,42,7,0.9660070785070787,0.9785714285714285,6,0.9660070785070787
breast-w,col_major,8,8,42,8,0.9713963963963964,0.9571428571428572,6,0.9713963963963964
breast-w,col_major,9,9,42,9,0.9731660231660232,0.9428571428571428,6,0.9731660231660232
breast-w,col_major,10,10,42,10,0.9749195624195626,0.9571428571428572,6,0.9749195624195626
breast-w,col_major,11,11,42,11,0.9749195624195626,0.9428571428571428,6,0.9749195624195626
breast-w,col_major,12,12,42,12,0.9695785070785071,0.95,6,0.9695785070785071
breast-w,col_major,13,13,42,13,0.9731660231660232,0.9571428571428572,6,0.9731660231660232
breast-w,col_major,14,14,42,14,0.9677606177606177,0.9642857142857143,6,0.9677606177606177
breast-w,col_major,15,15,42,15,0.965990990990991,0.9714285714285714,6,0.965990990990991
breast-w,col_major,16,16,42,16,0.9731821106821107,0.95,6,0.9731821106821107
