dataset,optimizer,seed,eval,best_so_far
qsar-biodeg,ga,0,25,0.8862919132149901
qsar-biodeg,ga,0,26,0.8862919132149901
qsar-biodeg,ga,0,27,0.8862919132149901
qsar-biodeg,ga,0,28,0.8874753451676529
qsar-biodeg,ga,0,29,0.8874753451676529
qsar-biodeg,ga,0,30,0.8874753451676529
qsar-biodeg,ga,0,31,0.8874753451676529
qsar-biodeg,ga,0,32,0.8874753451676529
qsar-biodeg,ga,0,33,0.8874753451676529
qsar-biodeg,ga,0,34,0.8898492533107918
qsar-biodeg,ga,0,35,0.8898492533107918
qsar-biodeg,ga,0,36,0.8898492533107918
qsar-biodeg,ga,0,37,0.8898492533107918
qsar-biodeg,ga,0,38,0.8898492533107918
qsar-biodeg,ga,0,39,0.8898492533107918
qsar-biodeg,ga,0,40,0.8898492533107918
qsar-biodeg,ga,0,41,0.8898492533107918
qsar-biodeg,ga,0,42,0.8898492533107918
qsar-biodeg,ga,0,43,0.8898492533107918
qsar-biodeg,ga,0,44,0.8898492533107918
qsar-biodeg,ga,0,45,0.8898492533107918
qsar-biodeg,ga,0,46,0.8898492533107918
qsar-biodeg,ga,0,47,0.8898492533107918
qsar-biodeg,ga,0,48,0.8898492533107918
qsar-biodeg,ga,0,49,0.8898492533107918
qsar-biodeg,ga,0,50,0.893385460693153
